image_name,caption,width,height,seed,name
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/5b816f30-2fc2-4a52-8dd7-d1b13dd6044c.webp,eye of horus making the letter k afro futurismo style ,512,896,1689506207,5b816f30-2fc2-4a52-8dd7-d1b13dd6044c.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/784f2317-9296-48c5-bf83-eb20b7556a98.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,1331015336,784f2317-9296-48c5-bf83-eb20b7556a98.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/707637ae-1886-4cd0-9943-94473f51fbe1.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,1425401136,707637ae-1886-4cd0-9943-94473f51fbe1.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/2ed9a901-54b2-495c-bdf0-b21bc5cfb9cf.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,8891653,2ed9a901-54b2-495c-bdf0-b21bc5cfb9cf.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/ab95362a-41af-4a6f-b920-108d34efee5c.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,2389265067,ab95362a-41af-4a6f-b920-108d34efee5c.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/82a288f8-8db0-4254-8acf-41a1c4df0645.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,2315196365,82a288f8-8db0-4254-8acf-41a1c4df0645.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/941f8919-4109-4786-97d4-1be55b0e4655.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,4018181563,941f8919-4109-4786-97d4-1be55b0e4655.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/1b766326-f76f-46da-8725-c5dfe9068734.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,3016642591,1b766326-f76f-46da-8725-c5dfe9068734.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/45440a9b-77c1-47cb-8d01-d9ef831a0080.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,494249500,45440a9b-77c1-47cb-8d01-d9ef831a0080.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/6605362a-2a9e-402b-ae02-31cb0cb6d74b.webp,5 5 mm portrait photo of geralt riding an alpaca on the surface of io. jupiter is visible in the background. gritty fantasy atmosphere. art by greg rutkowski. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0. ,640,512,1931186014,6605362a-2a9e-402b-ae02-31cb0cb6d74b.webp
/scr/dataset/yuke/zepeng/diffusiondb/part-000070/a71755b2-4717-4c65-b00c-88306633a7b0.webp,"hd photorealistic concept art, whoever stared at this screen control millions or billion of ongoing operations communion circuits ; mind links ; vibrant, hyperdetailed concept art, by caravaggio, inspired by masamune shirow and ross tran and james gurney, artstation, octane render hdr, rtx, ",640,512,982379355,a71755b2-4717-4c65-b00c-88306633a7b0.webp
