index,success,request_id,resolution,step,delay_time,start_time,end_time,time_consumption,prompt
1,True,232729203547481800882946328443180549137,512,50,5790.978624584766,2024-05-19 04:04:32.094891,2024-05-19 04:04:48.293619,16.198728,"accurate portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir realism, extremely detailed, 8 k "
0,True,121351949520425019132029245281005646813,768,50,2457.948355712448,2024-05-19 04:04:28.761056,2024-05-19 04:04:48.765830,20.004774,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus metal furniture "
2,True,206371136557898855770503897326282612576,256,50,6389.521378137329,2024-05-19 04:04:32.690765,2024-05-19 04:04:48.892051,16.201286,"sexy jesus christ wearing a robe, digital art by wlop, makoto shinkai and artgem lau "
3,True,95494593192484250521656883115536302485,768,50,7464.511189538875,2024-05-19 04:04:33.766568,2024-05-19 04:04:53.471348,19.70478,"an elegant goddess with luminous hair, flowing lightpainting swirling around her, highly detailed, ultrafine hyperrealistic detailed face, mouth parted, photorealistic, neon rim lighting, reflections, smooth, sharp focus, ultrawide, final fantasy, art by irakli nadar and lindsay adler and dani olivier and michael bosanko and adolphe bouguereau "
4,True,157935102906924536657204829078654500611,768,50,10753.38613493889,2024-05-19 04:04:37.057643,2024-05-19 04:04:56.613933,19.55629,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
5,True,166505190415054516658289716225216765324,512,50,14002.953905036968,2024-05-19 04:04:40.307054,2024-05-19 04:04:59.823155,19.516101,"sexy male jesus christ, digital art by wlop, makoto shinkai and artgem lau "
6,True,305232222023170970144572123359213426473,768,50,16205.922897733344,2024-05-19 04:04:42.508893,2024-05-19 04:05:02.050649,19.541756,"portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
7,True,190734863655248066859689169512345315486,512,50,16829.41952778588,2024-05-19 04:04:43.130582,2024-05-19 04:05:02.273734,19.143152,"dune, directed by alejandro jodorowsky, scifi, surreal, imax 7 0 mm, beautiful, cinematic, epic "
8,True,3716453530151136593770586222087928768,768,50,20091.396606874903,2024-05-19 04:04:46.394746,2024-05-19 04:05:06.087535,19.692789,"wild honey bees demonstrating against earth pollution, realistic bees holding a demonstration sign, bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
9,True,104686422347144894119082093220540968624,256,50,25061.53381808662,2024-05-19 04:04:51.364408,2024-05-19 04:05:08.944360,17.579952,"portrait of 6 ix 9 ine with facial tattoos as gothic dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
11,False,None,512,50,30129.02892429598,2024-05-19 04:04:56.432853,2024-05-19 04:05:09.146587,12.713734,"a werewolf riding in a gondola, 8 k, vacation photo, trending online, award - winning, "
10,True,167234448927677465729916935786699563401,512,50,26042.67065412685,2024-05-19 04:04:52.343808,2024-05-19 04:05:09.152035,16.808227,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
12,True,195944129831717725190595343749165094066,768,50,31490.344904357225,2024-05-19 04:04:57.791746,2024-05-19 04:05:21.006160,23.214414,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, super micro, octane render, 8 k, 3 d rendering, close - up view, fill - in light, bokeh "
13,True,3933853595188867014903349878838429566,512,50,38463.86023930142,2024-05-19 04:05:04.764574,2024-05-19 04:05:21.311349,16.546775,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
14,True,69407687689612931290457790587294707164,256,50,39229.68842819035,2024-05-19 04:05:05.530975,2024-05-19 04:05:21.451745,15.92077,"bokeh "
15,True,192312438136242440901249964947627525161,256,50,42812.24835556732,2024-05-19 04:05:09.113336,2024-05-19 04:05:24.791910,15.678574,"roulette wheel made from pizza "
17,False,None,768,50,46447.35294518836,2024-05-19 04:05:12.749613,2024-05-19 04:05:31.459203,18.70959,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, super micro, octane render, 8 k, 3 d rendering, close - up view, fill - in light, bokeh "
18,False,None,512,50,49007.03071948465,2024-05-19 04:05:15.310166,2024-05-19 04:05:31.459853,16.149687,"a swarm of wild bees demonstrating against earth pollution, realistic bee insects holding a demonstration sign on a bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
16,True,248509226698007748206364877363643646735,512,50,45491.59014752264,2024-05-19 04:05:11.792551,2024-05-19 04:05:31.463353,19.670802,"great space pilgrimage, highly detailed, masterpiece, concept art, illustration, journey, scifi, beautiful, deep, thought provoking, trending on artstation, art by stuart lippincott and paul chadeisson "
19,True,23509381443304342152375432778747976266,256,50,50421.061549573154,2024-05-19 04:05:16.722728,2024-05-19 04:05:31.863758,15.14103,"portrait of goth 6 ix 9 ine with facial tattoos as dc superhero, fantasy 9 0 s noir painting, realism, extremely detailed, 8 k "
20,True,103245472614948919200191853588934868896,256,50,51406.9734135313,2024-05-19 04:05:17.708514,2024-05-19 04:05:31.865972,14.157458,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, crepuscular rays, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
21,True,118820207069952961292937164052937460973,768,50,51952.17633734587,2024-05-19 04:05:18.252771,2024-05-19 04:05:37.855565,19.602794,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, crepuscular rays, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
25,True,239055400508511917324456304362819824807,512,50,61334.33710245251,2024-05-19 04:05:27.636497,2024-05-19 04:05:40.134969,12.498472,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
24,True,160414976029791635750767171816831222234,512,50,58634.04095117372,2024-05-19 04:05:24.935843,2024-05-19 04:05:40.136307,15.200464,"gothic 6 ix 9 ine as joker, nolan movie style, photorealistic portrait, extremely detailed, thriller, 8 k, digital quality "
