index,success,request_id,resolution,step,delay_time,start_time,end_time,time_consumption,prompt
0,True,306604014309372845162665772313700663568,256,50,1.947722,2024-05-18 04:19:05.491503,2024-05-18 04:19:21.413240,15.921737,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus metal furniture "
1,True,117360847094859746387362972867197775506,768,50,1200.02824,2024-05-18 04:19:06.690444,2024-05-18 04:19:27.238638,20.548194,"accurate portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir realism, extremely detailed, 8 k "
2,True,312324180606385336370729708945375764591,768,50,3679.500524,2024-05-18 04:19:09.171094,2024-05-18 04:19:33.905398,24.734304,"sexy jesus christ wearing a robe, digital art by wlop, makoto shinkai and artgem lau "
3,True,206298133663608748709330626902956688163,256,50,6281.560973000001,2024-05-18 04:19:11.773155,2024-05-18 04:19:39.776322,28.003167,"an elegant goddess with luminous hair, flowing lightpainting swirling around her, highly detailed, ultrafine hyperrealistic detailed face, mouth parted, photorealistic, neon rim lighting, reflections, smooth, sharp focus, ultrawide, final fantasy, art by irakli nadar and lindsay adler and dani olivier and michael bosanko and adolphe bouguereau "
4,True,49252343033507132120267914871002608046,768,50,8786.846379,2024-05-18 04:19:14.278421,2024-05-18 04:19:44.064564,29.786143,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
5,True,160213526214044973752044491955853268019,768,50,10089.521614,2024-05-18 04:19:15.579824,2024-05-18 04:19:46.414365,30.834541,"sexy male jesus christ, digital art by wlop, makoto shinkai and artgem lau "
6,True,266348200532617568694256602493103369095,768,50,10736.359165,2024-05-18 04:19:16.225950,2024-05-18 04:19:48.377857,32.151907,"portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
11,False,None,256,50,14805.102495,2024-05-18 04:19:20.297256,2024-05-18 04:19:49.711051,29.413795,"a werewolf riding in a gondola, 8 k, vacation photo, trending online, award - winning, "
15,False,None,512,50,19302.038277,2024-05-18 04:19:24.791821,2024-05-18 04:19:49.711655,24.919834,"roulette wheel made from pizza "
18,False,None,256,50,25507.41238,2024-05-18 04:19:31.000976,2024-05-18 04:19:49.712083,18.711107,"a swarm of wild bees demonstrating against earth pollution, realistic bee insects holding a demonstration sign on a bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
12,False,None,768,50,15676.945918,2024-05-18 04:19:21.167218,2024-05-18 04:19:49.712546,28.545328,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, super micro, octane render, 8 k, 3 d rendering, close - up view, fill - in light, bokeh "
14,False,None,768,50,18753.267616,2024-05-18 04:19:24.245396,2024-05-18 04:19:49.712956,25.46756,"bokeh "
9,False,None,512,50,11709.559096,2024-05-18 04:19:17.199519,2024-05-18 04:19:49.713312,32.513793,"portrait of 6 ix 9 ine with facial tattoos as gothic dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
8,False,None,768,50,11285.084242,2024-05-18 04:19:16.774289,2024-05-18 04:19:49.713655,32.939366,"wild honey bees demonstrating against earth pollution, realistic bees holding a demonstration sign, bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
21,False,None,768,50,29285.855371,2024-05-18 04:19:34.776722,2024-05-18 04:19:49.714019,14.937297,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, crepuscular rays, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
10,False,None,256,50,12575.48756,2024-05-18 04:19:18.066207,2024-05-18 04:19:49.714426,31.648219,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
20,False,None,512,50,28430.243141,2024-05-18 04:19:33.920689,2024-05-18 04:19:49.714783,15.794094,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, crepuscular rays, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
19,False,None,768,50,25709.053518,2024-05-18 04:19:31.198386,2024-05-18 04:19:49.715143,18.516757,"portrait of goth 6 ix 9 ine with facial tattoos as dc superhero, fantasy 9 0 s noir painting, realism, extremely detailed, 8 k "
17,False,None,256,50,21307.185803,2024-05-18 04:19:26.797039,2024-05-18 04:19:49.715498,22.918459,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, super micro, octane render, 8 k, 3 d rendering, close - up view, fill - in light, bokeh "
16,False,None,768,50,20694.854954,2024-05-18 04:19:26.186219,2024-05-18 04:19:49.715837,23.529618,"great space pilgrimage, highly detailed, masterpiece, concept art, illustration, journey, scifi, beautiful, deep, thought provoking, trending on artstation, art by stuart lippincott and paul chadeisson "
13,False,None,256,50,16342.108596,2024-05-18 04:19:21.831829,2024-05-18 04:19:49.716194,27.884365,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
7,True,114314856495129046774107364744057117412,768,50,11207.238017,2024-05-18 04:19:16.697354,2024-05-18 04:19:49.723397,33.026043,"dune, directed by alejandro jodorowsky, scifi, surreal, imax 7 0 mm, beautiful, cinematic, epic "
22,False,None,768,50,31437.858138,2024-05-18 04:19:36.929896,2024-05-18 04:19:58.895252,21.965356,"portrait of a beautiful host from westworld by daniel sprick and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
26,False,None,768,50,36795.794485,2024-05-18 04:19:42.286090,2024-05-18 04:19:58.895855,16.609765,"fantasy art of a baby angel with m 4 a 1, haven "
27,False,None,256,50,37823.574029,2024-05-18 04:19:43.314546,2024-05-18 04:19:58.896299,15.581753,"johnny got his gun, 8 k, stock photography, detailed, high res, professional, award - winning, "
30,False,None,256,50,40723.58142,2024-05-18 04:19:46.214562,2024-05-18 04:19:58.896685,12.682123,"portrait of a beautiful host from westworld, painting by daniel sprick and lucien freud, cinematic lighting, hyperrealism, high resolution, 4 k "
25,False,None,256,50,35632.699558,2024-05-18 04:19:41.123650,2024-05-18 04:19:58.897039,17.773389,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
24,False,None,512,50,33932.395955,2024-05-18 04:19:39.424788,2024-05-18 04:19:58.897639,19.472851,"gothic 6 ix 9 ine as joker, nolan movie style, photorealistic portrait, extremely detailed, thriller, 8 k, digital quality "
28,False,None,256,50,39718.726937,2024-05-18 04:19:45.210325,2024-05-18 04:19:58.898027,13.687702,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
23,True,304611445565673780961418151255596204109,512,50,32417.810699,2024-05-18 04:19:37.909184,2024-05-18 04:19:58.902685,20.993501,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
34,False,None,256,50,43298.008065,2024-05-18 04:19:48.787930,2024-05-18 04:20:04.756650,15.96872,"portrait of a beautiful host from westworld, painting by daniel sprick and lucien freud and william bouguereau, cinematic lighting, high resolution, 4 k "
33,False,None,768,50,43104.304029,2024-05-18 04:19:48.593634,2024-05-18 04:20:04.757324,16.16369,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus style scandinavian metal furniture "
35,False,None,512,50,43820.369145,2024-05-18 04:19:49.310584,2024-05-18 04:20:04.757745,15.447161,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, hypermaximalist, elegant, light semi - distant figures in the dark during sunrise in a glade, ornate, hyper realistic, super detailed "
36,False,None,256,50,44036.551131,2024-05-18 04:19:49.525933,2024-05-18 04:20:04.758125,15.232192,"portrait of a beautiful host from westworld, painting by daniel sprick and william bouguereau, cinematic lighting, hyperrealism, high resolution, 4 k "
29,False,None,768,50,39867.988484,2024-05-18 04:19:45.357688,2024-05-18 04:20:04.758774,19.401086,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, light semi - distant figures in the dark during sunrise, hypermaximalist, elegant, ornate, hyper realistic, super detailed "
32,False,None,768,50,42778.906042,2024-05-18 04:19:48.271616,2024-05-18 04:20:04.759153,16.487537,"textless, schlieren, cinecolor, imax, hdr perfectionism, crisp natural lighting, sunlight, scattering, vapor, hdr, mordancage, weta, insanely detailed intricate, hypermaximalist, elegant, light semi - distant figures in the dark during sunrise, ornate, hyper realistic, super detailed "
37,False,None,768,50,44371.80704,2024-05-18 04:19:49.861657,2024-05-18 04:20:04.759520,14.897863,"sarcandra glabra "
31,True,180067663725017115027679388879041723453,512,50,40998.519129,2024-05-18 04:19:46.488648,2024-05-18 04:20:04.761408,18.27276,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, octane render, 8 k, 3 d rendering, close - up view "
